NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3503878	AFUA_4G02830	aldehyde dehydrogenase, putative	Aspergillus fumigatus Af293	
3503879	AFUA_4G02840	NmrA-like family protein, putative	Aspergillus fumigatus Af293	
3503881	AFUA_4G02860	glycosyl hydrolase family 88, putative	Aspergillus fumigatus Af293	
3503882	AFUA_4G02730	O-methylsterigmatocystin oxidoreductase, putative	Aspergillus fumigatus Af293	
3503884	AFUA_4G02750	MFS monocarboxylate transporter, putative	Aspergillus fumigatus Af293	
3503885	AFUA_4G02760	DUF829 domain protein (PaxU), putative	Aspergillus fumigatus Af293	
3503886	AFUA_4G02770	arachidonate 5-lipoxygenase, putative	Aspergillus fumigatus Af293	
3503887	AFUA_4G02780	toxin biosynthesis peroxidase, putative	Aspergillus fumigatus Af293	
3503888	AFUA_4G02790	carbon-nitrogen family hydrolase, putative	Aspergillus fumigatus Af293	
3503889	AFUA_4G03660	acid phosphatase, putative	Aspergillus fumigatus Af293	
3503890	AFUA_4G03670	C6 transcription factor, putative	Aspergillus fumigatus Af293	
3503891	AFUA_4G03680	oxidoreductase, short-chain dehydrogenase/reductase family	Aspergillus fumigatus Af293	
3503892	AFUA_4G03690	aldehyde dehydrogenase family protein, putative	Aspergillus fumigatus Af293	
3503893	AFUA_4G03700	GMP synthase	Aspergillus fumigatus Af293	
3503899	AFUA_4G02700	metalloproteinase, putative	Aspergillus fumigatus Af293	
3503901	AFUA_4G02720	GPI anchored glycosyl hydrolase, putative	Aspergillus fumigatus Af293	
3503904	AFUA_4G04070	mucin family signaling protein Msb2, putative	Aspergillus fumigatus Af293	
3503906	AFUA_4G04090	conserved serine-threonine rich protein	Aspergillus fumigatus Af293	
3503907	AFUA_4G04100	vacuolar protein sorting protein (Vps36), putative	Aspergillus fumigatus Af293	
3503908	AFUA_4G03990	membrane-spanning ATPase, putative	Aspergillus fumigatus Af293	
3503909	AFUA_4G04000	LysM domain protein, putative	Aspergillus fumigatus Af293	
3503910	AFUA_4G04010	triacylglycerol lipase (LipA), putative	Aspergillus fumigatus Af293	
3503911	AFUA_4G04020	FKBP-type peptidyl-prolyl isomerase, putative	Aspergillus fumigatus Af293	
3503912	AFUA_4G04030	histidinol-phosphatase	Aspergillus fumigatus Af293	
3503913	AFUA_4G03940	ferric-chelate reductase, putative	Aspergillus fumigatus Af293	
3503915	AFUA_4G03960	C6 transcription factor Ctf1A, putative	Aspergillus fumigatus Af293	
3503916	AFUA_4G03970	GPI-anchor biosynthetic protein (Mcd4), putative	Aspergillus fumigatus Af293	
3503917	AFUA_4G03980	chromosome segregation protein (Pcs1), putative	Aspergillus fumigatus Af293	
3503918	AFUA_4G03880	60S ribosomal protein L7	Aspergillus fumigatus Af293	
